date,category,description,amount,payment_method,vendor,tax_deductible,notes
2026-10-15,Transport,Bensin & Tol Kirim Barang - October 2026,800000,Kas Kecil,Pertamina,true,Operasional delivery
2026-10-15,Ads,Iklan Meta & TikTok Ads - October 2026,7500000,Credit Card,Meta & Bytedance,true,Iklan bulanan
2026-10-15,Marketplace Fee,Marketplace Admin Fee - October 2026,2880000,Dipotong Sistem,Shopee & Tokopedia,true,Biaya admin platform
2026-11-15,Gaji,Pembayaran Gaji Karyawan - November 2026,8500000,Transfer,Staff Parfum,false,Gaji bulanan 2 staff
2026-11-15,Internet,Langganan Internet Biznet - November 2026,550000,Auto-debit,Biznet Networks,true,Wifi High-speed
2026-11-15,Operasional,Biaya Operasional Toko - November 2026,1200000,Kas Kecil,Toko ATK & Kelontong,true,Kebutuhan harian operasional
2026-11-15,Transport,Bensin & Tol Kirim Barang - November 2026,800000,Kas Kecil,Pertamina,true,Operasional delivery
2026-11-15,Ads,Iklan Meta & TikTok Ads - November 2026,9000000,Credit Card,Meta & Bytedance,true,Iklan bulanan
2026-11-15,Marketplace Fee,Marketplace Admin Fee - November 2026,3520000,Dipotong Sistem,Shopee & Tokopedia,true,Biaya admin platform
2026-12-15,Gaji,Pembayaran Gaji Karyawan - December 2026,8500000,Transfer,Staff Parfum,false,Gaji bulanan 2 staff
2026-12-15,Internet,Langganan Internet Biznet - December 2026,550000,Auto-debit,Biznet Networks,true,Wifi High-speed
2026-12-15,Operasional,Biaya Operasional Toko - December 2026,1200000,Kas Kecil,Toko ATK & Kelontong,true,Kebutuhan harian operasional
2026-12-15,Transport,Bensin & Tol Kirim Barang - December 2026,800000,Kas Kecil,Pertamina,true,Operasional delivery
2026-12-15,Ads,Iklan Meta & TikTok Ads - December 2026,6000000,Credit Card,Meta & Bytedance,true,Iklan bulanan
2026-12-15,Marketplace Fee,Marketplace Admin Fee - December 2026,2880000,Dipotong Sistem,Shopee & Tokopedia,true,Biaya admin platform
